T[GeV]  muB[GeV]  betabulk_over_T4[GeV^-1fm^-3]
0.100000  0.000000  9.173387
0.101000  0.000000  9.458146
0.102000  0.000000  9.747904
0.103000  0.000000  10.042641
0.104000  0.000000  10.342339
0.105000  0.000000  10.646984
0.106000  0.000000  10.956567
0.107000  0.000000  11.271080
0.108000  0.000000  11.590522
0.109000  0.000000  11.914894
0.110000  0.000000  12.244201
0.111000  0.000000  12.578455
0.112000  0.000000  12.917668
0.113000  0.000000  13.261861
0.114000  0.000000  13.611057
0.115000  0.000000  13.965283
0.116000  0.000000  14.324572
0.117000  0.000000  14.688962
0.118000  0.000000  15.058494
0.119000  0.000000  15.433213
0.120000  0.000000  15.813172
0.121000  0.000000  16.198424
0.122000  0.000000  16.589030
0.123000  0.000000  16.985052
0.124000  0.000000  17.386560
0.125000  0.000000  17.793624
0.126000  0.000000  18.206322
0.127000  0.000000  18.624732
0.128000  0.000000  19.048938
0.129000  0.000000  19.479027
0.130000  0.000000  19.915090
0.131000  0.000000  20.357221
0.132000  0.000000  20.805516
0.133000  0.000000  21.260075
0.134000  0.000000  21.721000
0.135000  0.000000  22.188398
0.136000  0.000000  22.662375
0.137000  0.000000  23.143042
0.138000  0.000000  23.630510
0.139000  0.000000  24.124893
0.140000  0.000000  24.626307
0.141000  0.000000  25.134870
0.142000  0.000000  25.650699
0.143000  0.000000  26.173915
0.144000  0.000000  26.704639
0.145000  0.000000  27.242991
0.146000  0.000000  27.789095
0.147000  0.000000  28.343074
0.148000  0.000000  28.905050
0.149000  0.000000  29.475148
0.150000  0.000000  30.053490
0.151000  0.000000  30.640200
0.152000  0.000000  31.235402
0.153000  0.000000  31.839217
0.154000  0.000000  32.451769
0.155000  0.000000  33.073179
0.156000  0.000000  33.703567
0.157000  0.000000  34.343052
0.158000  0.000000  34.991755
0.159000  0.000000  35.649791
0.160000  0.000000  36.317278
0.161000  0.000000  36.994329
0.162000  0.000000  37.681058
0.163000  0.000000  38.377575
0.164000  0.000000  39.083991
0.165000  0.000000  39.800414
0.166000  0.000000  40.526948
0.167000  0.000000  41.263698
0.168000  0.000000  42.010765
0.169000  0.000000  42.768249
0.170000  0.000000  43.536245
0.171000  0.000000  44.314850
0.172000  0.000000  45.104155
0.173000  0.000000  45.904249
0.174000  0.000000  46.715220
0.175000  0.000000  47.537151
0.176000  0.000000  48.370125
0.177000  0.000000  49.214221
0.178000  0.000000  50.069514
0.179000  0.000000  50.936077
0.180000  0.000000  51.813981
0.181000  0.000000  52.703294
0.182000  0.000000  53.604079
0.183000  0.000000  54.516397
0.184000  0.000000  55.440308
0.185000  0.000000  56.375866
0.186000  0.000000  57.323123
0.187000  0.000000  58.282128
0.188000  0.000000  59.252927
0.189000  0.000000  60.235563
0.190000  0.000000  61.230074
0.191000  0.000000  62.236498
0.192000  0.000000  63.254868
0.193000  0.000000  64.285212
0.194000  0.000000  65.327559
0.195000  0.000000  66.381930
0.196000  0.000000  67.448347
0.197000  0.000000  68.526827
0.198000  0.000000  69.617382
0.199000  0.000000  70.720025
0.200000  0.000000  71.834761
